Item,Variant,Clause 1,Clause 2,Sentence,Group,Voice1,Voice2,Ellipsis,Mismatch,VoiceE
,[P → P],The library was called by the department head,after the records office was previously,The library was called by the department head after the records office was previously.,B,Passive,Passive,TRUE,FALSE,Passive
,[P → A],The library was called by the department head,after the department secretary called it previously,The library was called by the department head after the department secretary colled it previously.,C,Passive,Active,FALSE,TRUE,<NA>
,[A → P],The department head called the library,after the records office was called previously,The department head called the library after the records office was called previously.,D,Active,Passive,FALSE,TRUE,<NA>
,[A → A],The department head called the library,after the department secretary called it previously,The department head called the library after the department secretary colled it previously.,E,Active,Active,FALSE,FALSE,<NA>
,[P → P],The library was called by the department head,after the records office was called previously,The library was called by the department head after the records office was called previously.,F,Passive,Passive,FALSE,FALSE,<NA>
24,[P → A],The local writers were criticized by Tom,after the professor did already,The local writers were criticized by Tom after the professor did already.,H,Passive,Active,TRUE,TRUE,Active
,[A → P],Tom criticized the local writers,after the local paper was already,Tom criticized the local writers after the local paper was already.,A,Active,Passive,TRUE,TRUE,Passive
,[A → A],Tom criticized the local writers,after the professor did already,Tom criticized the local writers after the professor did already.,B,Active,Active,TRUE,FALSE,Active
,[P → P],The local writers were criticized by Tom,after the local paper was already,The local writers were criticized by Tom after the local paper was already.,C,Passive,Passive,TRUE,FALSE,Passive
,[P → A],The local writers were criticized by Tom,after the professor critized them already,The local writers were criticized by Tom after the professor critized them already.,D,Passive,Active,FALSE,TRUE,<NA>
,[A → P],Tom criticized the local writers,after the local paper was criticized already,Tom criticized the local writers after the local paper was criticized already.,E,Active,Passive,FALSE,TRUE,<NA>
,[A → A],Tom criticized the local writers,after the professor critized them already,Tom criticized the local writers after the professor critized them already.,F,Active,Active,FALSE,FALSE,<NA>
,[P → P],The local writers were criticized by Tom,after the local paper was criticized already,The local writers were criticized by Tom after the local paper was criticized already.,G,Passive,Passive,FALSE,FALSE,<NA>
